id,title,category
1,Define goals and scope,Planning & Feasibility
2,Set target budget range,Planning & Feasibility
3,Create must-have feature list,Planning & Feasibility
4,Create nice-to-have feature list,Planning & Feasibility
5,Choose build type (new build/teardown/addition/ADU),Planning & Feasibility
6,Choose delivery method (GC/design-build/owner-builder),Planning & Feasibility
7,Create preliminary schedule timeline,Planning & Feasibility
8,Set quality and performance targets,Planning & Feasibility
9,Decide number of stories and layout concept,Planning & Feasibility
10,Select construction style (stick-built/modular/prefab/SIPs/ICF),Planning & Feasibility
11,Decide energy strategy (standard/high-performance/passive),Planning & Feasibility
12,Identify key risks and constraints,Planning & Feasibility
13,Create decision log and change control plan,Planning & Feasibility
14,Select project management tool and file storage,Planning & Feasibility
15,Hire owner's rep (optional),Planning & Feasibility
16,Hire construction attorney (optional),Planning & Feasibility
17,Hire cost estimator (optional),Planning & Feasibility
18,Initial neighborhood/HOA research,Planning & Feasibility
19,Initial utility availability research,Planning & Feasibility
20,Initial environmental risk screening,Planning & Feasibility
21,Confirm access for deliveries and cranes,Planning & Feasibility
22,Confirm wildfire/flood/hazard considerations,Planning & Feasibility
23,Confirm school district and services (optional),Planning & Feasibility
24,Select target move-in date,Planning & Feasibility
25,Create communication plan with builder and trades,Planning & Feasibility
26,"Set documentation standards (photos, receipts, permits)",Planning & Feasibility
27,Create contingency budget,Planning & Feasibility
28,Identify temporary housing plan (if needed),Planning & Feasibility
29,Confirm material lead-time strategy,Planning & Feasibility
30,Define finishes level (builder grade/mid/high-end),Planning & Feasibility
31,Decide accessibility needs (aging-in-place/ADA features),Planning & Feasibility
32,Decide smart home scope,Planning & Feasibility
33,Decide outdoor scope (deck/patio/pool/ADU),Planning & Feasibility
34,Decide garage/shop needs,Planning & Feasibility
35,Search for suitable lot,Land & Acquisition
36,Shortlist candidate properties,Land & Acquisition
37,Tour properties,Land & Acquisition
38,Request seller disclosures,Land & Acquisition
39,Review zoning and land use,Land & Acquisition
40,Review setbacks and height limits,Land & Acquisition
41,Review easements and rights-of-way,Land & Acquisition
42,Review deed restrictions/CC&Rs,Land & Acquisition
43,Check floodplain maps,Land & Acquisition
44,Check wildfire hazard zones,Land & Acquisition
45,Check landslide risk zones,Land & Acquisition
46,Check soil type maps,Land & Acquisition
47,Check access/driveway feasibility,Land & Acquisition
48,Check road dedication requirements,Land & Acquisition
49,Check snow load/wind exposure,Land & Acquisition
50,Order boundary survey,Land & Acquisition
51,Order topographic survey,Land & Acquisition
52,Order ALTA survey (optional),Land & Acquisition
53,Order geotechnical/soil report,Land & Acquisition
54,Order percolation test (septic),Land & Acquisition
55,Order wetland delineation (optional),Land & Acquisition
56,Order arborist report (optional),Land & Acquisition
57,Order environmental site assessment (Phase I) (optional),Land & Acquisition
58,Order environmental remediation plan (if needed),Land & Acquisition
59,Verify water rights (if applicable),Land & Acquisition
60,Verify timber/mineral rights (if applicable),Land & Acquisition
61,Verify shoreline/stream buffers (if applicable),Land & Acquisition
62,Confirm utility distances and capacity,Land & Acquisition
63,Confirm power pole/transformer needs,Land & Acquisition
64,Confirm telecom/fiber availability,Land & Acquisition
65,Confirm water service availability,Land & Acquisition
66,Confirm sewer availability,Land & Acquisition
67,Confirm gas service availability,Land & Acquisition
68,Confirm hydrant proximity (fire flow),Land & Acquisition
69,Negotiate purchase agreement,Land & Acquisition
70,Open escrow,Land & Acquisition
71,Title search and title insurance,Land & Acquisition
72,Obtain lender appraisal (if needed),Land & Acquisition
73,Close on land purchase,Land & Acquisition
74,Record deed,Land & Acquisition
75,Set up property tax account,Land & Acquisition
76,Obtain landowner insurance,Land & Acquisition
77,Select architect/designer,Design & Engineering
78,Select stock plan (optional),Design & Engineering
79,Site plan concepting,Design & Engineering
80,Concept floor plan options,Design & Engineering
81,Concept exterior elevations,Design & Engineering
82,Schematic design approval,Design & Engineering
83,Design development phase,Design & Engineering
84,Finalize room dimensions,Design & Engineering
85,Kitchen layout planning,Design & Engineering
86,Bathroom layout planning,Design & Engineering
87,Stair design,Design & Engineering
88,Roof design and pitch selection,Design & Engineering
89,Window schedule planning,Design & Engineering
90,Door schedule planning,Design & Engineering
91,Select structural system,Design & Engineering
92,Structural engineering design,Design & Engineering
93,Civil engineering design (grading/drainage),Design & Engineering
94,MEP engineering design,Design & Engineering
95,Truss engineering package,Design & Engineering
96,Energy code compliance documentation,Design & Engineering
97,HVAC load calculation (Manual J),Design & Engineering
98,Duct design (Manual D),Design & Engineering
99,Ventilation design (ERV/HRV),Design & Engineering
100,Plumbing design and fixture count,Design & Engineering
101,Electrical load calculation,Design & Engineering
102,Panel schedule design,Design & Engineering
103,Lighting plan design,Design & Engineering
104,Low-voltage plan design,Design & Engineering
105,Fire sprinkler design (if required/desired),Design & Engineering
106,Septic system design (if needed),Design & Engineering
107,Well design (if needed),Design & Engineering
108,Retaining wall engineering (if needed),Design & Engineering
109,Deck/porch engineering (if needed),Design & Engineering
110,Pool engineering (if needed),Design & Engineering
111,Landscape design (optional),Design & Engineering
112,Irrigation design (optional),Design & Engineering
113,Interior design selections (optional),Design & Engineering
114,Finalize construction documents,Design & Engineering
115,Prepare specification book,Design & Engineering
116,Create finish schedule,Design & Engineering
117,Create appliance schedule,Design & Engineering
118,Create hardware schedule,Design & Engineering
119,Create tile schedule,Design & Engineering
120,Create paint schedule,Design & Engineering
121,Create flooring schedule,Design & Engineering
122,Create cabinetry drawings,Design & Engineering
123,Create countertop templates (later),Design & Engineering
124,Create as-built plan baseline (set up),Design & Engineering
125,Pre-application meeting (planning),Permits & Approvals
126,HOA/architectural review submission,Permits & Approvals
127,HOA approval received,Permits & Approvals
128,Apply for building permit,Permits & Approvals
129,Apply for demolition permit,Permits & Approvals
130,Apply for grading permit,Permits & Approvals
131,Apply for tree removal permit,Permits & Approvals
132,Apply for driveway/approach permit,Permits & Approvals
133,Apply for right-of-way permit,Permits & Approvals
134,Apply for septic permit,Permits & Approvals
135,Apply for well permit,Permits & Approvals
136,Apply for stormwater permit,Permits & Approvals
137,Apply for shoreline/stream permit,Permits & Approvals
138,Apply for environmental permit (if needed),Permits & Approvals
139,Apply for utility connection permits,Permits & Approvals
140,Plan check review cycle,Permits & Approvals
141,Respond to plan check comments,Permits & Approvals
142,Resubmit revised plans,Permits & Approvals
143,Pay permit fees,Permits & Approvals
144,Permit issued,Permits & Approvals
145,Post permit card on site,Permits & Approvals
146,Schedule required inspections (baseline),Permits & Approvals
147,Obtain temporary power permit,Permits & Approvals
148,Obtain temporary water permit (if needed),Permits & Approvals
149,Choose lender (construction loan),Financing & Insurance
150,Construction loan pre-approval,Financing & Insurance
151,Finalize construction loan underwriting,Financing & Insurance
152,Finalize draw schedule,Financing & Insurance
153,Open construction escrow account,Financing & Insurance
154,Set up lien release process,Financing & Insurance
155,Set up payment approvals,Financing & Insurance
156,Obtain builder’s risk insurance,Financing & Insurance
157,Obtain general liability insurance,Financing & Insurance
158,Obtain workers comp proof (as applicable),Financing & Insurance
159,Obtain flood insurance (if needed),Financing & Insurance
160,Obtain wildfire insurance (if needed),Financing & Insurance
161,Confirm warranty coverage terms,Financing & Insurance
162,Set up contingency reserve account,Financing & Insurance
163,Set up cost tracking spreadsheet/app,Financing & Insurance
164,Secure performance bond (optional),Financing & Insurance
165,Select general contractor,Procurement & Contracts
166,Sign construction contract,Procurement & Contracts
167,Define allowances and alternates,Procurement & Contracts
168,Define change order procedure,Procurement & Contracts
169,Bid major trades,Procurement & Contracts
170,Award excavation contract,Procurement & Contracts
171,Award concrete contract,Procurement & Contracts
172,Award framing contract,Procurement & Contracts
173,Award roofing contract,Procurement & Contracts
174,Award siding/exterior contract,Procurement & Contracts
175,Award window/door supplier,Procurement & Contracts
176,Award plumbing contract,Procurement & Contracts
177,Award electrical contract,Procurement & Contracts
178,Award HVAC contract,Procurement & Contracts
179,Award insulation contract,Procurement & Contracts
180,Award drywall contract,Procurement & Contracts
181,Award painting contract,Procurement & Contracts
182,Award flooring contract,Procurement & Contracts
183,Award tile contract,Procurement & Contracts
184,Award cabinetry contract,Procurement & Contracts
185,Award countertop contract,Procurement & Contracts
186,Award landscaping contract,Procurement & Contracts
187,Award driveway contract,Procurement & Contracts
188,Order long-lead windows,Procurement & Contracts
189,Order trusses/joists,Procurement & Contracts
190,Order structural steel (if any),Procurement & Contracts
191,Order garage door(s),Procurement & Contracts
192,Order exterior doors,Procurement & Contracts
193,Order plumbing fixtures,Procurement & Contracts
194,Order lighting fixtures,Procurement & Contracts
195,Order electrical devices,Procurement & Contracts
196,Order HVAC equipment,Procurement & Contracts
197,Order ERV/HRV unit,Procurement & Contracts
198,Order water heater,Procurement & Contracts
199,Order appliances,Procurement & Contracts
200,Order fireplace unit (if any),Procurement & Contracts
201,Order solar equipment (if any),Procurement & Contracts
202,Order battery storage (if any),Procurement & Contracts
203,Order smart home hubs (if any),Procurement & Contracts
204,Order security system (if any),Procurement & Contracts
205,Order elevator (if any),Procurement & Contracts
206,Order generator (if any),Procurement & Contracts
207,Order specialty glazing (if any),Procurement & Contracts
208,Confirm delivery schedule for all long-leads,Procurement & Contracts
209,Create procurement tracker,Procurement & Contracts
210,Confirm storage plan for deliveries,Procurement & Contracts
211,Confirm returns/warranty policy with suppliers,Procurement & Contracts
212,Install temporary fencing,Site Setup & Safety
213,Install jobsite signage,Site Setup & Safety
214,Set up jobsite rules and safety plan,Site Setup & Safety
215,Deliver dumpster(s),Site Setup & Safety
216,Set up jobsite trailer (optional),Site Setup & Safety
217,Set up material laydown area,Site Setup & Safety
218,Establish site access route,Site Setup & Safety
219,Install construction entrance (rock pad),Site Setup & Safety
220,Install erosion control (silt fence),Site Setup & Safety
221,Install sediment basin (if needed),Site Setup & Safety
222,Set up temporary power pole,Site Setup & Safety
223,Set up temporary power meter,Site Setup & Safety
224,Set up temporary water supply,Site Setup & Safety
225,Set up portable toilet,Site Setup & Safety
226,Set up temporary internet (optional),Site Setup & Safety
227,Set up site lighting (optional),Site Setup & Safety
